"order_id","payment_sequential","payment_type","payment_installments","payment_value"
e481f51cbdc54678b7cc49136f2d6af7,1,credit_card,1,18.12
e481f51cbdc54678b7cc49136f2d6af7,3,voucher,1,2.0
e481f51cbdc54678b7cc49136f2d6af7,2,voucher,1,18.59
"53cdb2fc8bc7dce0b6741e2150273451",1,boleto,1,141.46
"47770eb9100c2d0c44946d9cf07ec65d",1,credit_card,3,179.12
"949d5b44dbf5de918fe9c16f97b45f8a",1,credit_card,1,72.2
ad21c59c0840e6cb83a9ceb5573f8159,1,credit_card,1,28.62
a4591c265e18cb1dcee52889e2d8acc3,1,credit_card,6,175.26
"136cce7faa42fdb2cefd53fdc79a6098",1,credit_card,1,65.95
"6514b8ad8028c9f2cc2374ded245783f",1,credit_card,3,75.16
"76c6e866289321a7c93b82b54852dc33",1,boleto,1,35.95
e69bfb5eb88e0ed6a785585b27e16dbf,2,voucher,1,161.42
e69bfb5eb88e0ed6a785585b27e16dbf,1,credit_card,1,8.34
e6ce16cb79ec1d90b1da9085a6118aeb,1,credit_card,1,259.06
"34513ce0c4fab462a55830c0989c7edb",1,credit_card,1,114.13
"82566a660a982b15fb86e904c8d32918",1,boleto,1,50.13
"5ff96c15d0b717ac6ad1f3d77225a350",1,credit_card,3,32.7
"432aaf21d85167c2c86ec9448c4e42cc",1,credit_card,1,54.36
dcb36b511fcac050b97cd5c05de84dc3,1,credit_card,10,146.45
"403b97836b0c04a622354cf531062e5f",1,credit_card,10,1376.45
"116f0b09343b49556bbad5f35bee0cdf",1,credit_card,4,43.09
"85ce859fd6dc634de8d2f1e290444043",1,credit_card,1,29.75
"83018ec114eee8641c97e08f7b4e926f",2,voucher,1,62.15
"83018ec114eee8641c97e08f7b4e926f",3,voucher,1,24.86
"83018ec114eee8641c97e08f7b4e926f",1,credit_card,1,5.96
"203096f03d82e0dffbc41ebc2e2bcfb7",1,boleto,1,118.86
f848643eec1d69395095eb3840d2051e,1,credit_card,4,88.9
"2807d0e504d6d4894d41672727bc139f",1,credit_card,1,17.28
"95266dbfb7e20354baba07964dac78d5",1,credit_card,3,187.57
f3e7c359154d965827355f39d6b1fdac,1,boleto,1,104.11
fbf9ac61453ac646ce8ad9783d7d0af6,1,boleto,1,125.43
acce194856392f074dbf9dada14d8d82,1,credit_card,10,227.68
dd78f560c270f1909639c11b925620ea,1,credit_card,2,60.69
"91b2a010e1e45e6ba3d133fa997597be",1,credit_card,8,192.68
ecab90c9933c58908d3d6add7c6f5ae3,1,credit_card,3,63.34
f70a0aff17df5a6cdd9a7196128bd354,1,boleto,1,313.19
"1790eea0b567cf50911c057cf20f90f9",1,credit_card,4,224.9
"989225ba6d0ebd5873335f7e01de2ae7",1,credit_card,1,63.1
d887b52c6516beb39e8cd44a5f8b60f7,1,credit_card,1,100.25
b276e4f8c0fb86bd82fce576f21713e0,1,credit_card,2,188.41
"8563039e855156e48fccee4d611a3196",1,credit_card,4,106.95
"60550084e6b4c0cb89a87df1f3e5ebd9",1,boleto,1,66.79
"5acce57f8d9dfd55fa48e212a641a69d",1,boleto,1,43.0
"434d158e96bdd6972ad6e6d73ddcfd22",1,boleto,1,508.17
"7206b86ea789983f7a273ea7fa0bc2a8",1,credit_card,4,49.69
"1e7aff52cdbb2451ace09d0f848c3699",1,credit_card,4,154.19
"6ea2f835b4556291ffdc53fa0b3b95e8",1,credit_card,10,356.12
"948097deef559c742e7ce321e5e58919",1,credit_card,9,95.67
d22e9fa5731b9e30e8b27afcdc2f8563,1,debit_card,1,121.62
ee64d42b8cf066f35eac1cf57de1aa85,1,boleto,1,22.36
"6ebaec694d7025e2ad4a05dba887c032",1,credit_card,7,153.72
d17dc4a904426827ca80f2ccb3a6be56,1,credit_card,1,54.82
"25f4376934e13d3508486352e11a5db0",1,credit_card,5,82.33
"5820a1100976432c7968a52da59e9364",1,credit_card,1,52.24
"2ce1ad82022c1ba30c2079502ac725aa",1,boleto,1,130.56
"138849fd84dff2fb4ca70a0a34c4aa1c",1,boleto,1,52.84
"47aa4816b27ba60ec948cd019cc1afc1",1,boleto,1,71.91
"9faeb9b2746b9d7526aef5acb08e2aa0",1,credit_card,2,151.04
"641fb0752bf5b5940c376b3a8bb9dc52",1,credit_card,10,386.33
e425680f760cbc130be3e53a9773c584,1,credit_card,1,50.25
"40c5e18f7d112b59b3e5113a59a905b3",1,credit_card,3,128.68
"734e7d1bbaeb2ff82521ca0fe6fb6f79",1,credit_card,1,43.46
"66e4624ae69e7dc89bd50222b59f581f",1,credit_card,9,91.68
a685d016c8a26f71a0bb67821070e398,1,boleto,1,99.26
"2edfd6d1f0b4cd0db4bf37b1b224d855",1,boleto,1,141.15
"68873cf91053cd11e6b49a766db5af1a",1,boleto,1,91.66
f346ad4ee8f630e5e4ddaf862a34e6dd,1,credit_card,1,53.66
"8f06cc6465925031568537b815f1198d",1,credit_card,9,317.34
ccbabeb0b02433bd0fcbac46e70339f2,1,boleto,1,43.0
"688052146432ef8253587b930b01a06d",1,credit_card,3,346.09
f271576bed568e896f99eb710cd3a6f8,1,credit_card,4,824.76
"686541986ecfb7d9296eb67719973bf0",1,credit_card,1,39.99
"68e48e68da1f50f7c5838ea75e3a20dd",1,credit_card,3,392.6
b52cc4919de82b4d696a4380d10804a3,1,boleto,1,55.02
fdf128b3630c21adc9ca4fb8a51b68ec,1,debit_card,1,46.2
a6aeb116d2cb5013eb8a94585b71ffef,1,credit_card,1,59.34
fa516182d28f96f5f5c651026b0749ee,1,credit_card,1,209.41
"6abaad69b8b349c3a529b4b91ce18e46",1,credit_card,4,57.0
"974c1993ab8024d3ed16229183c2308d",1,boleto,1,84.56
"82bce245b1c9148f8d19a55b9ff70644",1,boleto,1,267.8
a910f58086d58b3ae6f37aa712d377b9,1,credit_card,5,145.66
bd4bd0194d6d29f83b8557d4b89b572a,1,boleto,1,37.83
"634e8f4c0f6744a626f77f39770ac6aa",2,voucher,1,227.2
"634e8f4c0f6744a626f77f39770ac6aa",1,credit_card,1,7.08
"6d25592267349b322799e2beb687871e",1,boleto,1,201.82
b8801cccd8068de30112e4f49903d74a,1,credit_card,2,27.77
"2711a938db643b3f0b62ee2c8a2784aa",1,boleto,1,59.1
"3bc77ce8be27211bac313c2daa402d1a",1,credit_card,1,66.98
"10c320f977c6a18f91b2d14be13128c6",1,credit_card,3,132.26
"0a4a2fccb27bd83a892fa503987a595b",1,credit_card,5,63.34
e4de6d53ecff736bc68804b0b6e9f635,1,boleto,1,231.12
"6b860b35691d486e45dc98e3514ec5f6",1,boleto,1,574.36
ec341c54a5ebf8ee0a67a8632aa7579b,1,credit_card,2,29.92
